token,lemma,pos
of,of,ADP
long,long,ADJ
evenings,evening,NOUN
on,on,ADP
the,the,DET
club,club,NOUN
veranda,veranda,NOUN
with,with,ADP
the,the,DET
graphophone,graphophone,NOUN
playing,play,VERB
"""","""",PUNCT
Poor,poor,PROPN
Butterfly,butterfly,PROPN
"""","""",PUNCT
inside,inside,ADV
...,...,PUNCT
for,for,ADP
"""","""",PUNCT
Poor,poor,PROPN
Butterfly,butterfly,PROPN
"""","""",PUNCT
had,have,AUX
been,be,AUX
the,the,DET
song,song,NOUN
of,of,ADP
that,that,DET
last,last,ADJ
year,year,NOUN
.,.,PUNCT
The,the,DET
war,war,NOUN
seemed,seem,VERB
scarcely,scarcely,ADV
to,to,PART
touch,touch,VERB
them,they,PRON
and,and,CCONJ
it,it,PRON
might,might,AUX
have,have,AUX
been,be,AUX
one,one,NUM
of,of,ADP
the,the,DET
senior,senior,ADJ
springs,spring,NOUN
of,of,ADP
the,the,DET
past,past,ADJ
",",",",PUNCT
except,except,ADP
for,for,ADP
the,the,DET
drilling,drilling,NOUN
every,every,DET
other,other,ADJ
afternoon,afternoon,NOUN
",",",",PUNCT
yet,yet,CCONJ
Amory,Amory,PROPN
realized,realize,VERB
poignantly,poignantly,ADV
that,that,SCONJ
this,this,PRON
was,be,AUX
the,the,DET
last,last,ADJ
spring,spring,NOUN
under,under,ADP
the,the,DET
old,old,ADJ
regime,regime,NOUN
.,.,PUNCT
"""","""",PUNCT
This,this,PRON
is,be,AUX
the,the,DET
great,great,ADJ
protest,protest,NOUN
against,against,ADP
the,the,DET
superman,superman,NOUN
",",",",PUNCT
"""","""",PUNCT
said,say,VERB
Amory,Amory,PROPN
.,.,PUNCT
"""","""",PUNCT
I,I,PRON
suppose,suppose,VERB
so,so,ADV
",",",",PUNCT
"""","""",PUNCT
Alec,Alec,PROPN
agreed,agree,VERB
.,.,PUNCT
"""","""",PUNCT
He,he,PRON
's,be,AUX
absolutely,absolutely,ADV
irreconcilable,irreconcilable,ADJ
with,with,ADP
any,any,DET
Utopia,Utopia,PROPN
.,.,PUNCT
As,as,ADV
long,long,ADV
as,as,SCONJ
he,he,PRON
occurs,occur,NOUN
",",",",PUNCT
there,there,PRON
's,be,VERB
trouble,trouble,ADJ
and,and,CCONJ
all,all,DET
the,the,DET
latent,latent,ADJ
evil,evil,NOUN
that,that,PRON
makes,make,VERB
a,a,DET
crowd,crowd,NOUN
list,list,NOUN
and,and,CCONJ
sway,sway,NOUN
when,when,ADV
he,he,PRON
talks,talk,VERB
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
And,and,CCONJ
of,of,ADV
course,course,ADV
all,all,DET
that,that,SCONJ
he,he,PRON
is,be,AUX
is,be,AUX
a,a,DET
gifted,gifted,VERB
man,man,NOUN
without,without,ADP
a,a,DET
moral,moral,ADJ
sense,sense,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
That,that,PRON
's,be,AUX
all,all,DET
.,.,PUNCT
I,I,PRON
think,think,VERB
the,the,DET
worst,worst,ADJ
thing,thing,NOUN
to,to,PART
contemplate,contemplate,VERB
is,be,AUX
this,this,PRON
--,--,PUNCT
it,it,PRON
's,be,AUX
all,all,DET
happened,happen,VERB
before,before,ADV
",",",",PUNCT
how,how,ADV
soon,soon,ADV
will,will,AUX
it,it,PRON
happen,happen,VERB
again,again,ADV
?,?,PUNCT
Fifty,fifty,NUM
years,year,NOUN
after,after,ADV
Waterloo,Waterloo,PROPN
Napoleon,Napoleon,PROPN
was,be,AUX
as,as,ADV
much,much,ADJ
a,a,DET
hero,hero,NOUN
to,to,ADP
English,English,ADJ
school,school,NOUN
children,child,NOUN
as,as,ADP
Wellington,Wellington,PROPN
.,.,PUNCT
How,how,ADV
do,do,AUX
we,we,PRON
know,know,VERB
our,we,PRON
grandchildren,grandchild,NOUN
wo,will,AUX
n't,not,PART
idolize,idolize,VERB
Von,Von,PROPN
Hindenburg,Hindenburg,X
the,the,DET
same,same,ADJ
way,way,NOUN
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
What,what,PRON
brings,bring,VERB
it,it,PRON
about,about,ADV
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Time,time,NOUN
",",",",PUNCT
damn,damn,VERB
it,it,PRON
",",",",PUNCT
and,and,CCONJ
the,the,DET
historian,historian,NOUN
.,.,PUNCT
If,if,SCONJ
we,we,PRON
could,could,AUX
only,only,ADV
learn,learn,VERB
to,to,PART
look,look,VERB
on,on,ADP
evil,evil,NOUN
as,as,ADP
evil,evil,NOUN
",",",",PUNCT
whether,whether,SCONJ
it,it,PRON
's,be,AUX
clothed,clothed,VERB
in,in,ADP
filth,filth,NOUN
or,or,CCONJ
monotony,monotony,NOUN
or,or,CCONJ
magnificence,magnificence,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
God,God,PROPN
!,!,PUNCT
Have,have,AUX
n't,not,PART
we,we,PRON
raked,rak,VERB
the,the,DET
universe,universe,NOUN
over,over,ADP
the,the,DET
coals,coal,NOUN
for,for,ADP
four,four,NUM
years,year,NOUN
?,?,PUNCT
"""","""",PUNCT
Then,then,ADV
the,the,DET
night,night,NOUN
came,come,VERB
that,that,PRON
was,be,VERB
to,to,PART
be,be,AUX
the,the,DET
last,last,ADJ
.,.,PUNCT
Tom,Tom,PROPN
and,and,CCONJ
Amory,Amory,PROPN
",",",",PUNCT
bound,bound,ADJ
in,in,ADP
the,the,DET
morning,morning,NOUN
for,for,ADP
different,different,ADJ
training,training,NOUN
-,-,PUNCT
camps,camp,NOUN
",",",",PUNCT
paced,pace,VERB
the,the,DET
shadowy,shadowy,NOUN
walks,walk,VERB
as,as,ADP
usual,usual,ADJ
and,and,CCONJ
seemed,seem,VERB
still,still,ADV
to,to,PART
see,see,VERB
around,around,ADP
them,they,PRON
the,the,DET
faces,face,NOUN
of,of,ADP
the,the,DET
men,man,NOUN
they,they,PRON
knew,know,VERB
.,.,PUNCT
"""","""",PUNCT
The,the,DET
grass,grass,NOUN
is,be,AUX
full,full,ADJ
of,of,ADP
ghosts,ghost,NOUN
to,to,ADP
-,-,PUNCT
night,night,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
The,the,DET
whole,whole,ADJ
campus,campus,NOUN
is,be,AUX
alive,alive,ADJ
with,with,ADP
them,they,PRON
.,.,PUNCT
"""","""",PUNCT
They,they,PRON
paused,pause,VERB
by,by,ADP
Little,Little,PROPN
and,and,CCONJ
watched,watch,VERB
the,the,DET
moon,moon,NOUN
rise,rise,NOUN
",",",",PUNCT
to,to,PART
make,make,VERB
silver,silver,NOUN
of,of,ADP
the,the,DET
slate,slate,ADJ
roof,roof,NOUN
of,of,ADP
Dodd,Dodd,PROPN
and,and,CCONJ
blue,blue,ADJ
the,the,DET
rustling,rustling,ADJ
trees,tree,NOUN
.,.,PUNCT
"""","""",PUNCT
You,you,PRON
know,know,VERB
",",",",PUNCT
"""","""",PUNCT
whispered,whisper,VERB
Tom,Tom,PROPN
",",",",PUNCT
"""","""",PUNCT
what,what,PRON
we,we,PRON
feel,feel,VERB
now,now,ADV
is,be,AUX
the,the,DET
sense,sense,NOUN
of,of,ADP
all,all,DET
the,the,DET
gorgeous,gorgeous,ADJ
youth,youth,NOUN
that,that,PRON
has,have,AUX
rioted,riote,VERB
through,through,ADP
here,here,ADV
in,in,ADP
two,two,NUM
hundred,hundred,NUM
years,year,NOUN
.,.,PUNCT
"""","""",PUNCT
A,a,DET
last,last,ADJ
burst,burst,NOUN
of,of,SCONJ
singing,sing,VERB
flooded,flood,VERB
up,up,ADP
from,from,ADP
Blair,Blair,PROPN
Arch,Arch,PROPN
--,--,PUNCT
broken,break,VERB
voices,voice,NOUN
for,for,ADP
some,some,DET
long,long,ADJ
parting,parting,NOUN
.,.,PUNCT
"""","""",PUNCT
And,and,CCONJ
what,what,PRON
we,we,PRON
leave,leave,VERB
here,here,ADV
is,be,AUX
more,more,ADJ
than,than,ADP
this,this,DET
class,class,NOUN
;,;,PUNCT
it,it,PRON
's,be,AUX
the,the,DET
whole,whole,ADJ
heritage,heritage,NOUN
of,of,ADP
youth,youth,NOUN
.,.,PUNCT
We,we,PRON
're,be,AUX
just,just,ADV
one,one,NUM
generation,generation,NOUN
--,--,PUNCT
we,we,PRON
're,be,AUX
breaking,break,VERB
all,all,DET
the,the,DET
links,link,NOUN
that,that,PRON
seemed,seem,VERB
to,to,PART
bind,bind,VERB
us,we,PRON
here,here,ADV
to,to,ADP
top,top,ADJ
-,-,PUNCT
booted,booted,ADJ
and,and,CCONJ
high,high,ADJ
-stocked,-stocked,ADJ
generations,generation,NOUN
.,.,PUNCT
We,we,PRON
've,have,AUX
walked,walk,VERB
arm,arm,NOUN
and,and,CCONJ
arm,arm,NOUN
with,with,ADP
Burr,Burr,PROPN
and,and,CCONJ
Light,light,PROPN
-,-,PUNCT
Horse,horse,PROPN
Harry,Harry,PROPN
Lee,Lee,PROPN
through,through,ADP
half,half,NOUN
these,these,DET
deep,deep,ADJ
-,-,PUNCT
blue,blue,ADJ
nights,night,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
That,that,PRON
's,be,VERB
what,what,PRON
they,they,PRON
are,be,VERB
",",",",PUNCT
"""","""",PUNCT
Tom,Tom,PROPN
tangented,tangent,VERB
off,off,ADP
",",",",PUNCT
"""","""",PUNCT
deep,deep,ADJ
blue,blue,NOUN
--,--,PUNCT
a,a,DET
bit,bit,NOUN
of,of,ADP
color,color,NOUN
would,would,AUX
spoil,spoil,VERB
them,they,PRON
",",",",PUNCT
make,make,VERB
them,they,PRON
exotic,exotic,ADJ
.,.,PUNCT
Spires,Spire,NOUN
",",",",PUNCT
against,against,ADP
a,a,DET
sky,sky,NOUN
that,that,PRON
's,be,AUX
a,a,DET
promise,promise,NOUN
of,of,ADP
dawn,dawn,NOUN
",",",",PUNCT
and,and,CCONJ
blue,blue,ADJ
light,light,NOUN
on,on,ADP
the,the,DET
slate,slate,ADJ
roofs,roof,NOUN
--,--,PUNCT
it,it,PRON
hurts,hurt,VERB
...,...,PUNCT
rather,rather,ADV
--,--,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Good,good,INTJ
-,-,PUNCT
by,by,ADP
",",",",PUNCT
Aaron,Aaron,PROPN
Burr,Burr,PROPN
",",",",PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
called,call,VERB
toward,toward,ADP
deserted,desert,VERB
Nassau,Nassau,PROPN
Hall,Hall,PROPN
",",",",PUNCT
"""","""",PUNCT
you,you,PRON
and,and,CCONJ
I,I,PRON
knew,know,VERB
strange,strange,ADJ
corners,corner,NOUN
of,of,ADP
life,life,NOUN
.,.,PUNCT
"""","""",PUNCT
His,he,PRON
voice,voice,NOUN
echoed,echo,VERB
in,in,ADP
the,the,DET
stillness,stillness,NOUN
.,.,PUNCT
"""","""",PUNCT
The,the,DET
torches,torch,NOUN
are,be,AUX
out,out,ADV
",",",",PUNCT
"""","""",PUNCT
whispered,whisper,VERB
Tom,Tom,PROPN
.,.,PUNCT
"""","""",PUNCT
Ah,ah,INTJ
",",",",PUNCT
Messalina,Messalina,PROPN
",",",",PUNCT
the,the,DET
long,long,ADJ
shadows,shadow,NOUN
are,be,AUX
building,build,NOUN
minarets,minaret,NOUN
on,on,ADP
the,the,DET
stadium,stadium,NOUN
--,--,PUNCT
"""","""",PUNCT
For,for,ADP
an,a,DET
instant,instant,ADJ
the,the,DET
voices,voice,NOUN
of,of,ADP
freshman,freshman,ADJ
year,year,NOUN
surged,surge,VERB
around,around,ADP
them,they,PRON
and,and,CCONJ
then,then,ADV
they,they,PRON
looked,look,VERB
at,at,ADP
each,each,DET
other,other,ADJ
with,with,ADP
faint,faint,ADJ
tears,tear,NOUN
in,in,ADP
their,they,PRON
eyes,eye,NOUN
.,.,PUNCT
"""","""",PUNCT
Damn,damn,PROPN
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Damn,damn,PROPN
!,!,PUNCT
"""","""",PUNCT
The,the,DET
last,last,ADJ
light,light,NOUN
fades,fade,NOUN
and,and,CCONJ
drifts,drift,NOUN
across,across,ADP
the,the,DET
land,land,NOUN
--,--,PUNCT
the,the,DET
low,low,ADJ
",",",",PUNCT
long,long,ADJ
land,land,NOUN
",",",",PUNCT
the,the,DET
sunny,sunny,ADJ
land,land,NOUN
of,of,ADP
spires,spire,NOUN
;,;,PUNCT
the,the,DET
ghosts,ghost,NOUN
of,of,ADP
evening,evening,NOUN
tune,tune,NUM
again,again,ADV
their,they,PRON
lyres,lyre,NOUN
and,and,CCONJ
wander,wander,VERB
singing,singe,VERB
in,in,ADP
a,a,DET
plaintive,plaintive,ADJ
band,band,NOUN
down,down,ADP
the,the,DET
long,long,ADJ
corridors,corridor,NOUN
of,of,ADP
trees,tree,NOUN
;,;,PUNCT
pale,pale,ADJ
fires,fire,NOUN
echo,echo,PRON
the,the,DET
night,night,NOUN
from,from,ADP
tower,tower,NOUN
top,top,NOUN
to,to,ADP
tower,tower,NOUN
:,:,PUNCT
Oh,oh,INTJ
",",",",PUNCT
sleep,sleep,VERB
that,that,PRON
dreams,dream,NOUN
",",",",PUNCT
and,and,CCONJ
dream,dream,NOUN
that,that,ADV
never,never,ADV
tires,tire,NOUN
",",",",PUNCT
press,press,NOUN
from,from,ADP
the,the,DET
petals,petal,NOUN
of,of,ADP
the,the,DET
lotus,lotus,NOUN
flower,flower,VERB
something,something,PRON
of,of,ADP
this,this,PRON
to,to,PART
keep,keep,VERB
",",",",PUNCT
the,the,DET
essence,essence,NOUN
of,of,ADP
an,a,DET
hour,hour,NOUN
.,.,PUNCT
No,no,ADV
more,more,ADJ
to,to,PART
wait,wait,VERB
the,the,DET
twilight,twilight,NOUN
of,of,ADP
the,the,DET
moon,moon,NOUN
in,in,ADP
this,this,DET
sequestered,sequester,VERB
vale,vale,NOUN
of,of,ADP
star,star,NOUN
and,and,CCONJ
spire,spire,NOUN
",",",",PUNCT
for,for,ADP
one,one,NUM
eternal,eternal,ADJ
morning,morning,NOUN
of,of,ADP
desire,desire,NOUN
passes,pass,NOUN
to,to,ADP
time,time,NOUN
and,and,CCONJ
earthy,earthy,ADJ
afternoon,afternoon,NOUN
.,.,PUNCT
Here,here,ADV
",",",",PUNCT
Heraclitus,Heraclitus,PROPN
",",",",PUNCT
did,do,AUX
you,you,PRON
find,find,VERB
in,in,ADP
fire,fire,NOUN
and,and,CCONJ
shifting,shift,NOUN
things,thing,NOUN
the,the,DET
prophecy,prophecy,NOUN
you,you,PRON
hurled,hurl,VERB
down,down,ADP
the,the,DET
dead,dead,ADJ
years,year,NOUN
;,;,PUNCT
this,this,DET
midnight,midnight,NOUN
my,my,PRON
desire,desire,NOUN
will,will,AUX
see,see,VERB
",",",",PUNCT
shadowed,shadow,VERB
among,among,ADP
the,the,DET
embers,ember,NOUN
",",",",PUNCT
furled,furl,VERB
in,in,ADP
flame,flame,NOUN
",",",",PUNCT
the,the,DET
splendor,splendor,NOUN
and,and,CCONJ
the,the,DET
sadness,sadness,NOUN
of,of,ADP
the,the,DET
world,world,NOUN
.,.,PUNCT
INTERLUDE,Interlude,PROPN
May,May,PROPN
",",",",PUNCT
1917,1917,NUM
-,-,PUNCT
February,February,PROPN
",",",",PUNCT
1919,1919,NUM
A,a,DET
letter,letter,NOUN
dated,date,VERB
January,January,PROPN
",",",",PUNCT
1918,1918,NUM
",",",",PUNCT
written,write,VERB
by,by,ADP
Monsignor,Monsignor,PROPN
Darcy,Darcy,PROPN
to,to,ADP
Amory,Amory,PROPN
",",",",PUNCT
who,who,PRON
is,be,AUX
a,a,DET
second,second,ADJ
lieutenant,lieutenant,NOUN
in,in,ADP
the,the,DET
171st,171st,ADJ
Infantry,infantry,NOUN
",",",",PUNCT
Port,Port,PROPN
of,of,ADP
Embarkation,Embarkation,PROPN
",",",",PUNCT
Camp,camp,PROPN
Mills,Mills,PROPN
",",",",PUNCT
Long,Long,PROPN
Island,Island,PROPN
.,.,PUNCT
MY,my,PRON
DEAR,dear,PROPN
BOY,Boy,PROPN
:,:,PUNCT
All,all,DET
you,you,PRON
need,need,VERB
tell,tell,VERB
me,I,PRON
of,of,ADP
yourself,yourself,PRON
is,be,VERB
that,that,SCONJ
you,you,PRON
still,still,ADV
are,be,VERB
;,;,PUNCT
for,for,ADP
the,the,DET
rest,rest,NOUN
I,I,PRON
merely,merely,ADV
search,search,VERB
back,back,ADV
in,in,ADP
a,a,DET
restive,restive,ADJ
memory,memory,NOUN
",",",",PUNCT
a,a,DET
thermometer,thermometer,NOUN
that,that,PRON
records,record,VERB
only,only,ADV
fevers,fever,NOUN
",",",",PUNCT
and,and,CCONJ
match,match,VERB
you,you,PRON
with,with,SCONJ
what,what,PRON
I,I,PRON
was,be,AUX
at,at,ADP
your,you,PRON
age,age,NOUN
.,.,PUNCT
But,but,CCONJ
men,man,NOUN
will,will,AUX
chatter,chatter,VERB
and,and,CCONJ
you,you,PRON
and,and,CCONJ
I,I,PRON
will,will,AUX
still,still,ADV
shout,shout,VERB
our,we,PRON
futilities,futility,NOUN
to,to,ADP
each,each,DET
other,other,ADJ
across,across,NOUN
the,the,DET
stage,stage,NOUN
until,until,ADP
the,the,DET
last,last,ADJ
silly,silly,ADJ
curtain,curtain,NOUN
falls,fall,VERB
_plump,_plump,NOUN
!_,!_,PUNCT
upon,upon,ADP
our,we,PRON
bobbing,bobbing,NOUN
heads,head,NOUN
.,.,PUNCT
But,but,CCONJ
you,you,PRON
are,be,AUX
starting,start,VERB
the,the,DET
spluttering,splutter,VERB
magic,magic,NOUN
-,-,PUNCT
lantern,lantern,ADJ
show,show,NOUN
of,of,ADP
life,life,NOUN
with,with,ADP
much,much,ADV
the,the,DET
same,same,ADJ
array,array,NOUN
of,of,ADP
slides,slide,NOUN
as,as,SCONJ
I,I,PRON
had,have,VERB
",",",",PUNCT
so,so,ADV
I,I,PRON
need,need,VERB
to,to,PART
write,write,VERB
you,you,PRON
if,if,SCONJ
only,only,ADV
to,to,PART
shriek,shriek,VERB
the,the,DET
colossal,colossal,ADJ
stupidity,stupidity,NOUN
of,of,ADP
people,people,NOUN
....,....,PUNCT
This,this,PRON
is,be,AUX
the,the,DET
end,end,NOUN
of,of,ADP
one,one,NUM
thing,thing,NOUN
:,:,PUNCT
for,for,ADP
better,better,ADJ
or,or,CCONJ
worse,worse,ADJ
you,you,PRON
will,will,AUX
never,never,ADV
again,again,ADV
be,be,AUX
quite,quite,DET
the,the,DET
Amory,Amory,PROPN
Blaine,Blaine,PROPN
that,that,PRON
I,I,PRON
knew,know,VERB
",",",",PUNCT
never,never,ADV
again,again,ADV
will,will,AUX
we,we,PRON
meet,meet,VERB
as,as,SCONJ
we,we,PRON
have,have,AUX
met,meet,VERB
",",",",PUNCT
because,because,SCONJ
your,you,PRON
generation,generation,NOUN
is,be,AUX
growing,grow,VERB
hard,hard,ADJ
",",",",PUNCT
much,much,ADV
harder,harder,ADJ
than,than,ADP
mine,mine,PRON
ever,ever,ADV
grew,grow,VERB
",",",",PUNCT
nourished,nourished,VERB
as,as,SCONJ
they,they,PRON
were,be,AUX
on,on,ADP
the,the,DET
stuff,stuff,NOUN
of,of,ADP
the,the,DET
nineties,ninety,NOUN
.,.,PUNCT
Amory,Amory,INTJ
",",",",PUNCT
lately,lately,ADV
I,I,PRON
reread,reread,VERB
Aeschylus,Aeschylus,PRON
and,and,CCONJ
there,there,PRON
in,in,ADP
the,the,DET
divine,divine,NOUN
irony,irony,NOUN
of,of,ADP
the,the,DET
"""","""",PUNCT
Agamemnon,Agamemnon,PROPN
"""","""",PUNCT
I,I,PRON
find,find,VERB
the,the,DET
only,only,ADJ
answer,answer,NOUN
to,to,ADP
this,this,DET
bitter,bitter,ADJ
age,age,NOUN
--,--,PUNCT
all,all,DET
the,the,DET
world,world,NOUN
tumbled,tumble,VERB
about,about,ADP
our,we,PRON
ears,ear,NOUN
",",",",PUNCT
and,and,CCONJ
the,the,DET
closest,closest,ADJ
parallel,parallel,NOUN
ages,age,NOUN
back,back,ADV
in,in,ADP
that,that,PRON
hopeless,hopeless,ADJ
resignation,resignation,NOUN
.,.,PUNCT
There,there,PRON
are,be,VERB
times,time,NOUN
when,when,ADV
I,I,PRON
think,think,VERB
of,of,ADP
the,the,DET
men,man,NOUN
out,out,ADV
there,there,ADV
as,as,ADP
Roman,Roman,ADJ
legionaries,legionary,NOUN
",",",",PUNCT
miles,mile,NOUN
from,from,ADP
their,they,PRON
corrupt,corrupt,ADJ
city,city,NOUN
",",",",PUNCT
stemming,stemm,VERB
back,back,ADV
the,the,DET
hordes,horde,NOUN
...,...,PUNCT
hordes,horde,VERB
a,a,DET
little,little,ADJ
more,more,ADJ
menacing,menacing,NOUN
",",",",PUNCT
after,after,ADV
all,all,ADV
",",",",PUNCT
than,than,ADP
the,the,DET
corrupt,corrupt,NOUN
city,city,NOUN
...,...,PUNCT
another,another,DET
blind,blind,ADJ
blow,blow,NOUN
at,at,ADP
the,the,DET
race,race,NOUN
",",",",PUNCT
furies,fury,NOUN
that,that,PRON
we,we,PRON
passed,pass,VERB
with,with,ADP
ovations,ovation,NOUN
years,year,NOUN
ago,ago,ADV
",",",",PUNCT
over,over,ADP
whose,whose,PRON
corpses,corps,NOUN
we,we,PRON
bleated,bleate,VERB
triumphantly,triumphantly,ADV
all,all,ADV
through,through,ADP
the,the,DET
Victorian,Victorian,ADJ
era,era,NOUN
....,....,PUNCT
And,and,CCONJ
afterward,afterward,VERB
an,a,DET
out,out,ADV
-,-,PUNCT
and,and,CCONJ
-,-,PUNCT
out,out,ADP
materialistic,materialistic,ADJ
world,world,NOUN
--,--,PUNCT
and,and,CCONJ
the,the,DET
Catholic,Catholic,PROPN
Church,Church,PROPN
.,.,PUNCT
I,I,PRON
wonder,wonder,VERB
where,where,ADV
you,you,PRON
'll,will,AUX
fit,fit,VERB
in,in,ADP
.,.,PUNCT
Of,of,ADP
one,one,NUM
thing,thing,NOUN
I,I,PRON
'm,be,AUX
sure,sure,ADJ
--,--,PUNCT
Celtic,Celtic,ADJ
you,you,PRON
'll,will,AUX
live,live,VERB
and,and,CCONJ
Celtic,Celtic,PROPN
you,you,PRON
'll,will,AUX
die,die,VERB
;,;,PUNCT
so,so,ADV
if,if,SCONJ
you,you,PRON
do,do,AUX
n't,not,PART
use,use,VERB
heaven,heaven,NOUN
as,as,ADP
a,a,DET
continual,continual,ADJ
referendum,referendum,NOUN
for,for,ADP
your,you,PRON
ideas,idea,NOUN
you,you,PRON
'll,will,AUX
find,find,VERB
earth,earth,ADP
a,a,DET
continual,continual,ADJ
recall,recall,NOUN
to,to,ADP
your,you,PRON
ambitions,ambitions,NOUN
.,.,PUNCT
Amory,Amory,INTJ
",",",",PUNCT
I,I,PRON
've,have,AUX
discovered,discover,VERB
suddenly,suddenly,ADV
that,that,SCONJ
I,I,PRON
'm,be,AUX
an,a,DET
old,old,ADJ
man,man,NOUN
.,.,PUNCT
Like,like,ADP
all,all,DET
old,old,ADJ
men,men,INTJ
",",",",PUNCT
I,I,PRON
've,have,AUX
had,have,VERB
dreams,dream,NOUN
sometimes,sometimes,ADV
and,and,CCONJ
I,I,PRON
'm,be,AUX
going,go,VERB
to,to,PART
tell,tell,VERB
you,you,PRON
of,of,ADP
them,they,PRON
.,.,PUNCT
I,I,PRON
've,have,AUX
enjoyed,enjoy,VERB
imagining,imagine,VERB
that,that,SCONJ
you,you,PRON
were,be,AUX
my,my,PRON
son,son,NOUN
",",",",PUNCT
that,that,PRON
perhaps,perhaps,ADV
when,when,ADV
I,I,PRON
was,be,AUX
young,young,ADJ
I,I,PRON
went,go,VERB
into,into,ADP
a,a,DET
state,state,NOUN
of,of,ADP
coma,coma,NOUN
and,and,CCONJ
begat,begat,VERB
you,you,PRON
",",",",PUNCT
and,and,CCONJ
when,when,ADV
I,I,PRON
came,come,VERB
to,to,ADV
",",",",PUNCT
had,have,VERB
no,no,DET
recollection,recollection,NOUN
of,of,ADP
it,it,PRON
...,...,PUNCT
it,it,PRON
's,be,AUX
the,the,DET
paternal,paternal,ADJ
instinct,instinct,NOUN
",",",",PUNCT
Amory,Amory,NOUN
--,--,PUNCT
celibacy,celibacy,NOUN
goes,go,VERB
deeper,deeper,ADJ
than,than,ADP
the,the,DET
flesh,flesh,NOUN
....,....,PUNCT
Sometimes,sometimes,ADV
I,I,PRON
think,think,VERB
that,that,SCONJ
the,the,DET
explanation,explanation,NOUN
of,of,ADP
our,we,PRON
deep,deep,ADJ
resemblance,resemblance,NOUN
is,be,AUX
some,some,DET
common,common,ADJ
ancestor,ancestor,NOUN
",",",",PUNCT
and,and,CCONJ
I,I,PRON
find,find,VERB
that,that,SCONJ
the,the,DET
only,only,ADJ
blood,blood,NOUN
that,that,SCONJ
the,the,DET
Darcys,Darcys,PROPN
and,and,CCONJ
the,the,DET
O'Haras,O'Hara,PROPN
have,have,VERB
in,in,ADP
common,common,ADJ
is,be,AUX
that,that,PRON
of,of,ADP
the,the,DET
O'Donahues,O'Donahue,NOUN
...,...,PUNCT
Stephen,Stephen,PROPN
was,be,AUX
his,he,PRON
name,name,NOUN
",",",",PUNCT
I,I,PRON
think,think,VERB
....,....,PUNCT
When,when,ADV
the,the,DET
lightning,lightning,NOUN
strikes,strike,NOUN
one,one,NUM
of,of,ADP
us,we,PRON
it,it,PRON
strikes,strike,VERB
both,both,CCONJ
:,:,PUNCT
you,you,PRON
had,have,VERB
hardly,hardly,ADV
arrived,arrive,VERB
at,at,ADP
the,the,DET
port,port,NOUN
of,of,ADP
embarkation,embarkation,NOUN
when,when,ADV
I,I,PRON
got,get,VERB
my,my,PRON
papers,papers,NOUN
to,to,PART
start,start,VERB
for,for,ADP
Rome,Rome,PROPN
",",",",PUNCT
and,and,CCONJ
I,I,PRON
am,be,AUX
waiting,wait,VERB
every,every,DET
moment,moment,NOUN
to,to,PART
be,be,AUX
told,tell,VERB
where,where,ADV
to,to,PART
take,take,VERB
ship,ship,NOUN
.,.,PUNCT
Even,even,ADV
before,before,SCONJ
you,you,PRON
get,get,VERB
this,this,DET
letter,letter,NOUN
I,I,PRON
shall,shall,AUX
be,be,AUX
on,on,ADP
the,the,DET
ocean,ocean,NOUN
;,;,PUNCT
then,then,ADV
will,will,AUX
come,come,VERB
your,you,PRON
turn,turn,VERB
.,.,PUNCT
You,you,PRON
went,go,VERB
to,to,PART
war,war,VERB
as,as,ADP
a,a,DET
gentleman,gentleman,NOUN
should,should,AUX
",",",",PUNCT
just,just,ADV
as,as,SCONJ
you,you,PRON
went,go,VERB
to,to,ADP
school,school,NOUN
and,and,CCONJ
college,college,NOUN
",",",",PUNCT
because,because,SCONJ
it,it,PRON
was,be,AUX
the,the,DET
thing,thing,NOUN
to,to,PART
do,do,VERB
.,.,PUNCT
It,it,PRON
's,be,AUX
better,better,ADJ
to,to,PART
leave,leave,VERB
the,the,DET
blustering,bluster,VERB
and,and,CCONJ
tremulo,tremulo,NOUN
-,-,PUNCT
heroism,heroism,NOUN
to,to,ADP
the,the,DET
middle,middle,ADJ
classes,class,NOUN
;,;,PUNCT
they,they,PRON
do,do,VERB
it,it,PRON
so,so,ADV
much,much,ADV
better,better,ADJ
.,.,PUNCT
Do,do,AUX
you,you,PRON
remember,remember,VERB
that,that,SCONJ
week,week,NOUN
-,-,PUNCT
end,end,NOUN
last,last,ADJ
March,March,PROPN
when,when,ADV
you,you,PRON
brought,bring,VERB
Burne,Burne,PROPN
Holiday,holiday,PROPN
from,from,ADP
Princeton,Princeton,PROPN
to,to,PART
see,see,VERB
me,I,PRON
?,?,PUNCT
What,what,PRON
a,a,DET
magnificent,magnificent,ADJ
boy,boy,NOUN
he,he,PRON
is,be,AUX
